Approved symbol	Approved name	Previous symbols	Alias symbols
MTNAP1	mitochondrial nucleoid associated protein 1	C17orf80	HLC-8, MIG3, FLJ20721, SPEP1
MTNAP1P1	MTNAP1 pseudogene 1		
MTND1P1	MT-ND1 pseudogene 1		
MTND1P2	MT-ND1 pseudogene 2		
MTND1P3	MT-ND1 pseudogene 3		
MTND1P4	MT-ND1 pseudogene 4		
MTND1P5	MT-ND1 pseudogene 5		
MTND1P6	MT-ND1 pseudogene 6		
MTND1P7	MT-ND1 pseudogene 7		
MTND1P8	MT-ND1 pseudogene 8		
MTND1P9	MT-ND1 pseudogene 9		
MTND1P10	MT-ND1 pseudogene 10		
MTND1P11	MT-ND1 pseudogene 11		
MTND1P12	MT-ND1 pseudogene 12		
MTND1P13	MT-ND1 pseudogene 13		
MTND1P14	MT-ND1 pseudogene 14		
MTND1P15	MT-ND1 pseudogene 15		
MTND1P16	MT-ND1 pseudogene 16		
MTND1P17	MT-ND1 pseudogene 17		
MTND1P18	MT-ND1 pseudogene 18		
MTND1P19	MT-ND1 pseudogene 19		
MTND1P20	MT-ND1 pseudogene 20		
MTND1P21	MT-ND1 pseudogene 21		
MTND1P22	MT-ND1 pseudogene 22		
MTND1P23	MT-ND1 pseudogene 23		
MTND1P24	MT-ND1 pseudogene 24		
MTND1P25	MT-ND1 pseudogene 25		
MTND1P26	MT-ND1 pseudogene 26		
MTND1P27	MT-ND1 pseudogene 27		
MTND1P28	MT-ND1 pseudogene 28		
MTND1P29	MT-ND1 pseudogene 29		
MTND1P30	MT-ND1 pseudogene 30		
MTND1P31	MT-ND1 pseudogene 31		
MTND1P32	MT-ND1 pseudogene 32		
MTND1P33	MT-ND1 pseudogene 33		
MTND1P34	MT-ND1 pseudogene 34		
MTND1P35	MT-ND1 pseudogene 35		
MTND1P36	MT-ND1 pseudogene 36		
MTND1P37	MT-ND1 pseudogene 37		
MTND2P1	MT-ND2 pseudogene 1		
MTND2P2	MT-ND2 pseudogene 2		
MTND2P3	MT-ND2 pseudogene 3		
MTND2P4	MT-ND2 pseudogene 4		
MTND2P5	MT-ND2 pseudogene 5		
MTND2P6	MT-ND2 pseudogene 6		
MTND2P7	MT-ND2 pseudogene 7		
MTND2P8	MT-ND2 pseudogene 8		
MTND2P9	MT-ND2 pseudogene 9		
MTND2P10	MT-ND2 pseudogene 10		
MTND2P11	MT-ND2 pseudogene 11		
MTND2P12	MT-ND2 pseudogene 12		
MTND2P13	MT-ND2 pseudogene 13		
MTND2P14	MT-ND2 pseudogene 14		
MTND2P15	MT-ND2 pseudogene 15		
MTND2P16	MT-ND2 pseudogene 16		
MTND2P17	MT-ND2 pseudogene 17		
MTND2P18	MT-ND2 pseudogene 18		
MTND2P19	MT-ND2 pseudogene 19		
MTND2P20	MT-ND2 pseudogene 20		
MTND2P21	MT-ND2 pseudogene 21		
MTND2P22	MT-ND2 pseudogene 22		
MTND2P23	MT-ND2 pseudogene 23		
MTND2P24	MT-ND2 pseudogene 24		
MTND2P25	MT-ND2 pseudogene 25		
MTND2P26	MT-ND2 pseudogene 26		
MTND2P27	MT-ND2 pseudogene 27		
MTND2P28	MT-ND2 pseudogene 28		
MTND2P29	MT-ND2 pseudogene 29		
MTND2P30	MT-ND2 pseudogene 30		
MTND2P31	MT-ND2 pseudogene 31		
MTND2P32	MT-ND2 pseudogene 32		
MTND2P33	MT-ND2 pseudogene 33		
MTND2P34	MT-ND2 pseudogene 34		
MTND2P35	MT-ND2 pseudogene 35		
MTND2P36	MT-ND2 pseudogene 36		
MTND2P37	MT-ND2 pseudogene 37		
MTND2P38	MT-ND2 pseudogene 38		
MTND2P39	MT-ND2 pseudogene 39		
MTND2P40	MT-ND2 pseudogene 40		
MTND2P41	MT-ND2 pseudogene 41		
MTND3P1	MT-ND3 pseudogene 1		
MTND3P2	MT-ND3 pseudogene 2		
MTND3P3	MT-ND3 pseudogene 3		
MTND3P4	MT-ND3 pseudogene 4		
MTND3P5	MT-ND3 pseudogene 5		
MTND3P6	MT-ND3 pseudogene 6		
MTND3P7	MT-ND3 pseudogene 7		
MTND3P8	MT-ND3 pseudogene 8		
MTND3P9	MT-ND3 pseudogene 9		
MTND3P10	MT-ND3 pseudogene 10		
MTND3P11	MT-ND3 pseudogene 11		
MTND3P12	MT-ND3 pseudogene 12		
MTND3P13	MT-ND3 pseudogene 13		
MTND3P14	MT-ND3 pseudogene 14		
MTND3P15	MT-ND3 pseudogene 15		
MTND3P16	MT-ND3 pseudogene 16		
MTND3P17	MT-ND3 pseudogene 17		
MTND3P18	MT-ND3 pseudogene 18		
MTND3P19	MT-ND3 pseudogene 19		
MTND3P20	MT-ND3 pseudogene 20		
MTND3P21	MT-ND3 pseudogene 21		
MTND3P22	MT-ND3 pseudogene 22		
MTND3P23	MT-ND3 pseudogene 23		
MTND3P24	MT-ND3 pseudogene 24		
MTND3P25	MT-ND3 pseudogene 25		
MTND4LP1	MT-ND4L pseudogene 1		MTND4L2
MTND4LP2	MT-ND4L pseudogene 2		
MTND4LP3	MT-ND4L pseudogene 3		
MTND4LP4	MT-ND4L pseudogene 4		
MTND4LP5	MT-ND4L pseudogene 5		
MTND4LP6	MT-ND4L pseudogene 6		
MTND4LP7	MT-ND4L pseudogene 7		
MTND4LP8	MT-ND4L pseudogene 8		
MTND4LP9	MT-ND4L pseudogene 9		
MTND4LP10	MT-ND4L pseudogene 10		
MTND4LP11	MT-ND4L pseudogene 11		
MTND4LP12	MT-ND4L pseudogene 12		
MTND4LP13	MT-ND4L pseudogene 13		
MTND4LP14	MT-ND4L pseudogene 14		
MTND4LP15	MT-ND4L pseudogene 15		
MTND4LP16	MT-ND4L pseudogene 16		
MTND4LP17	MT-ND4L pseudogene 17		
MTND4LP18	MT-ND4L pseudogene 18		
MTND4LP19	MT-ND4L pseudogene 19		
MTND4LP20	MT-ND4L pseudogene 20		
MTND4LP21	MT-ND4L pseudogene 21		
MTND4LP22	MT-ND4L pseudogene 22		
MTND4LP23	MT-ND4L pseudogene 23		
MTND4LP24	MT-ND4L pseudogene 24		
MTND4LP25	MT-ND4L pseudogene 25		
MTND4LP26	MT-ND4L pseudogene 26		
MTND4LP27	MT-ND4L pseudogene 27		
MTND4LP28	MT-ND4L pseudogene 28		
MTND4LP29	MT-ND4L pseudogene 29		
MTND4LP30	MT-ND4L pseudogene 30		
MTND4LP31	MT-ND4L pseudogene 31		
MTND4LP32	MT-ND4L pseudogene 32		
MTND4P1	MT-ND4 pseudogene 1		
MTND4P2	MT-ND4 pseudogene 2		
MTND4P3	MT-ND4 pseudogene 3		
MTND4P4	MT-ND4 pseudogene 4		
MTND4P5	MT-ND4 pseudogene 5		
MTND4P6	MT-ND4 pseudogene 6		
MTND4P7	MT-ND4 pseudogene 7		
MTND4P8	MT-ND4 pseudogene 8		
MTND4P9	MT-ND4 pseudogene 9		
MTND4P10	MT-ND4 pseudogene 10		
MTND4P11	MT-ND4 pseudogene 11		
MTND4P12	MT-ND4 pseudogene 12		
MTND4P13	MT-ND4 pseudogene 13		
MTND4P14	MT-ND4 pseudogene 14		
MTND4P15	MT-ND4 pseudogene 15		
MTND4P16	MT-ND4 pseudogene 16		
MTND4P17	MT-ND4 pseudogene 17		
MTND4P18	MT-ND4 pseudogene 18		
MTND4P19	MT-ND4 pseudogene 19		
MTND4P20	MT-ND4 pseudogene 20		
MTND4P21	MT-ND4 pseudogene 21		
MTND4P22	MT-ND4 pseudogene 22		
MTND4P23	MT-ND4 pseudogene 23		
MTND4P24	MT-ND4 pseudogene 24		
MTND4P25	MT-ND4 pseudogene 25		
MTND4P26	MT-ND4 pseudogene 26		
MTND4P27	MT-ND4 pseudogene 27		
MTND4P28	MT-ND4 pseudogene 28		
MTND4P29	MT-ND4 pseudogene 29		
MTND4P30	MT-ND4 pseudogene 30		
MTND4P31	MT-ND4 pseudogene 31		
MTND4P32	MT-ND4 pseudogene 32		
MTND4P33	MT-ND4 pseudogene 33		
MTND4P34	MT-ND4 pseudogene 34		
MTND4P35	MT-ND4 pseudogene 35		
MTND4P36	MT-ND4 pseudogene 36		
MTND4P37	MT-ND4 pseudogene 37		
MTND4P38	MT-ND4 pseudogene 38		
MTND4P39	MT-ND4 pseudogene 39		
MTND4P40	MT-ND4 pseudogene 40		
MTND4P41	MT-ND4 pseudogene 41		
MTND5P1	MT-ND5 pseudogene 1		
MTND5P2	MT-ND5 pseudogene 2		
MTND5P3	MT-ND5 pseudogene 3		
MTND5P4	MT-ND5 pseudogene 4		
MTND5P5	MT-ND5 pseudogene 5		
MTND5P6	MT-ND5 pseudogene 6		
MTND5P7	MT-ND5 pseudogene 7		
MTND5P8	MT-ND5 pseudogene 8		
MTND5P9	MT-ND5 pseudogene 9		
MTND5P10	MT-ND5 pseudogene 10		
MTND5P11	MT-ND5 pseudogene 11		
MTND5P12	MT-ND5 pseudogene 12		
MTND5P13	MT-ND5 pseudogene 13		
MTND5P14	MT-ND5 pseudogene 14		
MTND5P15	MT-ND5 pseudogene 15		
MTND5P16	MT-ND5 pseudogene 16		
MTND5P17	MT-ND5 pseudogene 17		
MTND5P18	MT-ND5 pseudogene 18		
MTND5P19	MT-ND5 pseudogene 19		
MTND5P20	MT-ND5 pseudogene 20		
MTND5P21	MT-ND5 pseudogene 21		
MTND5P22	MT-ND5 pseudogene 22		
MTND5P23	MT-ND5 pseudogene 23		
MTND5P24	MT-ND5 pseudogene 24		
MTND5P25	MT-ND5 pseudogene 25		
MTND5P26	MT-ND5 pseudogene 26		
MTND5P27	MT-ND5 pseudogene 27		
MTND5P28	MT-ND5 pseudogene 28		
MTND5P29	MT-ND5 pseudogene 29		
MTND5P30	MT-ND5 pseudogene 30		
MTND5P31	MT-ND5 pseudogene 31		
MTND5P32	MT-ND5 pseudogene 32		
MTND5P33	MT-ND5 pseudogene 33		
MTND5P34	MT-ND5 pseudogene 34		
MTND5P35	MT-ND5 pseudogene 35		
MTND5P36	MT-ND5 pseudogene 36		
MTND5P37	MT-ND5 pseudogene 37		
MTND5P38	MT-ND5 pseudogene 38		
MTND5P39	MT-ND5 pseudogene 39		
MTND5P40	MT-ND5 pseudogene 40		
MTND5P41	MT-ND5 pseudogene 41		
MTND5P42	MT-ND5 pseudogene 42		
MTND5P43	MT-ND5 pseudogene 43		
MTND5P44	MT-ND5 pseudogene 44		
MTND5P45	MT-ND5 pseudogene 45		
MTND5P46	MT-ND5 pseudogene 46		
MTND6P1	MT-ND6 pseudogene 1		
MTND6P2	MT-ND6 pseudogene 2		
MTND6P3	MT-ND6 pseudogene 3		
MTND6P4	MT-ND6 pseudogene 4		
MTND6P5	MT-ND6 pseudogene 5		
MTND6P6	MT-ND6 pseudogene 6		
MTND6P7	MT-ND6 pseudogene 7		
MTND6P8	MT-ND6 pseudogene 8		
MTND6P9	MT-ND6 pseudogene 9		
MTND6P10	MT-ND6 pseudogene 10		
MTND6P11	MT-ND6 pseudogene 11		
MTND6P12	MT-ND6 pseudogene 12		
MTND6P13	MT-ND6 pseudogene 13		
MTND6P14	MT-ND6 pseudogene 14		
MTND6P15	MT-ND6 pseudogene 15		
MTND6P16	MT-ND6 pseudogene 16		
MTND6P17	MT-ND6 pseudogene 17		
MTND6P18	MT-ND6 pseudogene 18		
MTND6P19	MT-ND6 pseudogene 19		
MTND6P20	MT-ND6 pseudogene 20		
MTND6P21	MT-ND6 pseudogene 21		
MTND6P22	MT-ND6 pseudogene 22		
MTND6P23	MT-ND6 pseudogene 23		
MTND6P24	MT-ND6 pseudogene 24		
MTND6P25	MT-ND6 pseudogene 25		
MTND6P26	MT-ND6 pseudogene 26		
MTND6P27	MT-ND6 pseudogene 27		
MTND6P28	MT-ND6 pseudogene 28		
MTND6P29	MT-ND6 pseudogene 29		
MTND6P30	MT-ND6 pseudogene 30		
MTND6P31	MT-ND6 pseudogene 31		
MTND6P32	MT-ND6 pseudogene 32		
MTND6P33	MT-ND6 pseudogene 33		
MTND6P34	MT-ND6 pseudogene 34		
MTND6P35	MT-ND6 pseudogene 35		
MTND6P36	MT-ND6 pseudogene 36		
MTND6P37	MT-ND6 pseudogene 37		
MTNR1A	melatonin receptor 1A		MEL-1A-R
MTNR1B	melatonin receptor 1B		
MTO1	mitochondrial tRNA translation optimization 1		
MTOR	mechanistic target of rapamycin kinase	FRAP, FRAP2, FRAP1	RAFT1, RAPT1, FLJ44809
MTOR-AS1	MTOR antisense RNA 1		
MTPAP	mitochondrial poly(A) polymerase	PAPD1	FLJ10486, SPAX4, TENT6
MTPN	myotrophin		MYOTROPHIN, GCDP, V-1
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase		cblG
MTRES1	mitochondrial transcription rescue factor 1	C6orf203	HSPC230, PRED31
MTRES1P1	MTRES1 pseudogene 1		
MTRES1P2	MTRES1 pseudogene 2		
MTREX	Mtr4 exosome RNA helicase	KIAA0052, SKIV2L2	Mtr4, Dob1, fSAP118
MTRF1	mitochondrial translation release factor 1		RF1, MTTRF1, MGC47721
MTRF1L	mitochondrial translation release factor 1 like		HMRF1L, mtRF1a
MTRF1LP1	mitochondrial translational release factor 1 like pseudogene 1		
MTRF1LP2	mitochondrial translational release factor 1 like pseudogene 2		
MTRFR	mitochondrial translation release factor in rescue	C12orf65	FLJ38663, SPG55, COXPD7, mtRF-R
MTRNR2L1	MT-RNR2 like 1 (pseudogene)		RNA143598
MTRNR2L2	MT-RNR2 like 2 (pseudogene)		
MTRNR2L3	MT-RNR2 like 3 (pseudogene)		
MTRNR2L4	MT-RNR2 like 4 (pseudogene)		
MTRNR2L5	MT-RNR2 like 5 (pseudogene)		
MTRNR2L6	MT-RNR2 like 6 (pseudogene)		
MTRNR2L7	MT-RNR2 like 7 (pseudogene)		
MTRNR2L8	MT-RNR2 like 8 (pseudogene)		
MTRNR2L9	MT-RNR2 like 9 (pseudogene)		
MTRNR2L10	MT-RNR2 like 10 (pseudogene)		
MTRNR2L11	MT-RNR2 like 11 (pseudogene)		
MTRNR2L12	MT-RNR2 like 12 (pseudogene)		
MTRNR2L13	MT-RNR2 like 13 (pseudogene)		
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase		cblE
MTSS1	MTSS I-BAR domain containing 1		KIAA0429, MIMA, MIMB, MIM
MTSS2	MTSS I-BAR domain containing 2	MTSS1L	ABBA-1, LOC92154, ABBA
MTTP	microsomal triglyceride transfer protein	MTP	ABL
MTTP-AS1	MTTP antisense RNA 1		
MTURN	maturin, neural progenitor differentiation regulator homolog	C7orf41	FLJ25903, Ells1
MTUS1	microtubule associated scaffold protein 1		MTSG1, KIAA1288, DKFZp586D1519, FLJ14295, ATIP1, MP44, ATBP, ICIS, ATIP3
MTUS1-DT	MTUS1 divergent transcript		
MTUS2	microtubule associated scaffold protein 2	KIAA0774	TIP150, CAZIP, ICIS
MTUS2-AS1	MTUS2 antisense RNA 1		
MTUS2-AS2	MTUS2 antisense RNA 2		
MTX1	metaxin 1	MTX	MTXN
MTX1LP	metaxin 1 like, pseudogene	MTXP, MTX1P, MTX1P1	
MTX2	metaxin 2		
MTX2P1	MTX2 pseudogene 1		
MTX3	metaxin 3		
MUC1	mucin 1, cell surface associated	PUM, MCKD1	CD227, PEM, ADMCKD, ADMCKD1, MCKD, MCD, KL-6, EMA, Ca15-3
MUC2	mucin 2, oligomeric mucus/gel-forming		MLP, MUC-2
MUC3A	mucin 3A, cell surface associated	MUC3	
MUC3B	mucin 3B, cell surface associated		
MUC4	mucin 4, cell surface associated		ASGP, MUC-4
MUC5AC	mucin 5AC, oligomeric mucus/gel-forming		MUC5
MUC5B	mucin 5B, oligomeric mucus/gel-forming	MUC5	MG1, MUC-5B
MUC5B-AS1	MUC5B antisense RNA 1		
MUC6	mucin 6, oligomeric mucus/gel-forming (gene/pseudogene)		MUC-6
MUC7	mucin 7, secreted		FLJ27047, MG2
MUC8	mucin 8		
MUC12	mucin 12, cell surface associated	MUC11	
MUC12-AS1	MUC12 antisense RNA 1		
MUC13	mucin 13, cell surface associated	DRCC1	
MUC15	mucin 15, cell surface associated		
MUC16	mucin 16, cell surface associated		CA125, FLJ14303, CA-125
MUC17	mucin 17, cell surface associated		
MUC19	mucin 19, oligomeric (gene/pseudogene)		FLJ35746
MUC20	mucin 20, cell surface associated		FLJ14408, KIAA1359
MUC20-OT1	MUC20 overlapping transcript		
MUC20P1	mucin 20, cell surface associated pseudogene 1		
MUC21	mucin 21, cell surface associated	C6orf205	bCX31G15.2
MUC22	mucin 22		PBMUCL1
MUCL1	mucin like 1		SBEM
MUCL3	mucin like 3	DPCR1	PBLT, bCX105N19.6, C6orf37
MUL1	mitochondrial E3 ubiquitin protein ligase 1	C1orf166	FLJ12875, MULAN, RNF218, MAPL, GIDE
MUPP	major urinary protein, pseudogene		
MUS81	MUS81 structure-specific endonuclease subunit		FLJ44872, SLX3
MUSK	muscle associated receptor tyrosine kinase		
MUSTN1	musculoskeletal, embryonic nuclear protein 1		Mustang
MUTYH	mutY DNA glycosylase		MYH
MVB12A	multivesicular body subunit 12A	FAM125A	FLJ32495
MVB12B	multivesicular body subunit 12B	C9orf28, FAM125B	FLJ00001
MVD	mevalonate diphosphate decarboxylase		MPD
MVK	mevalonate kinase		LRBP, MK
MVP	major vault protein		LRP, VAULT1
MVP-DT	MVP divergent transcript		AC009133.12
MX1	MX dynamin like GTPase 1		IFI-78K, MxA, lncMX1-215
MX1-AS1	MX1 antisense RNA 1		hLinfRNA3, AP001610.5
MX2	MX dynamin like GTPase 2		MXB
MXD1	MAX dimerization protein 1	MAD	MAD1, bHLHc58
MXD3	MAX dimerization protein 3		MAD3, bHLHc13
MXD4	MAX dimerization protein 4		MAD4, MSTP149, MST149, bHLHc12
MXI1	MAX interactor 1, dimerization protein		MXD2, MAD2, MXI, bHLHc11
MXRA5	matrix remodeling associated 5		DKFZp564I1922
MXRA5Y	matrix remodeling associated 5 Y-linked (pseudogene)	MXRA5P, MXRA5P1	ADLICANP
MXRA7	matrix remodeling associated 7		FLJ46603, TMAP1, PS1TP1
MXRA7P1	MXRA7 pseudogene 1		
MXRA8	matrix remodeling associated 8		DKFZp586E2023
MYADM	myeloid associated differentiation marker		
MYADM-AS1	MYADM antisense RNA 1		
MYADM-AS2	MYADM antisense RNA 2		VEAL2
MYADML	myeloid associated differentiation marker like (pseudogene)		
MYADML2	myeloid associated differentiation marker like 2		LOC255275
MYB	MYB proto-oncogene, transcription factor		c-myb
MYB-AS1	MYB antisense RNA 1	MYBAS, MYB-AS	RP1-32B1.3, NCRNA00209
MYBBP1A	MYB binding protein 1a		P160, PAP2, FLJ37886, Pol5
MYBL1	MYB proto-oncogene like 1		AMYB, A-myb
MYBL2	MYB proto-oncogene like 2		BMYB, B-MYB
MYBPC1	myosin binding protein C1		ssMyBP-C
MYBPC2	myosin binding protein C2		MYBPCF, MGC163408, fsMyBP-C
MYBPC3	myosin binding protein C3	CMH4	FHC, cMyBP-C
MYBPH	myosin binding protein H		
MYBPHL	myosin binding protein H like		
MYC	MYC proto-oncogene, bHLH transcription factor		c-Myc, bHLHe39, MYCC
MYCBP	MYC binding protein		AMY-1
MYCBP2	MYC binding protein 2		PAM, KIAA0916, FLJ10106, PHR1
MYCBP2-AS1	MYCBP2 antisense RNA 1		
MYCBP2-AS2	MYCBP2 antisense RNA 2		
MYCBPAP	MYCBP associated protein		AMAP-1, DKFZp434N1415
MYCL	MYCL proto-oncogene, bHLH transcription factor	MYCL1	LMYC, bHLHe38
MYCL-AS1	MYCL antisense RNA 1		
MYCLP1	MYCL pseudogene 1	MYCL2, MYCL1P1	
MYCLP2	MYCL pseudogene 2		
MYCLP3	MYCL pseudogene 3	MYCL3	
MYCN	MYCN proto-oncogene, bHLH transcription factor	NMYC	bHLHe37, N-myc, MYCNOT
MYCNOS	MYCN opposite strand		NCYM, N-CYM, MYCN-AS1
MYCNUT	MYCN upstream transcript	MYCNUN	lncUSMycN
MYCT1	MYC target 1		MTLC, FLJ21269
MYD88	MYD88 innate immune signal transduction adaptor		
MYDGF	myeloid derived growth factor	IL27, IL27w, C19orf10	R33729_1, IL25, SF20, IL-25, IL-27
MYEF2	myelin expression factor 2		MEF-2, FLJ11213, KIAA1341, HsT18564
MYEOV	myeloma overexpressed		OCIM
MYF5	myogenic factor 5		bHLHc2
MYF6	myogenic factor 6		MRF4, bHLHc4
MYG1	MYG1 exonuclease	C12orf10	MYG, Gamm1
MYG1-AS1	MYG1 antisense RNA 1		
MYG1P1	MYG1 pseudogene 1	C12orf10P1	
MYH1	myosin heavy chain 1		MYHSA1, MYHa, MyHC-2X/D, MGC133384
MYH2	myosin heavy chain 2	IBM3	MYH2A, MYHSA2, MyHC-IIa, MYHas8, MyHC-2A
MYH3	myosin heavy chain 3		MYHC-EMB, MYHSE1, HEMHC, SMHCE
MYH4	myosin heavy chain 4		MYH2B, MyHC-2B, MyHC-IIb
MYH6	myosin heavy chain 6		
MYH7	myosin heavy chain 7	CMH1, MPD1	CMD1S
MYH7B	myosin heavy chain 7B		KIAA1512, dJ756N5.1, MYH14, MHC14, lncMYH7b
MYH8	myosin heavy chain 8		MyHC-peri, MyHC-pn
MYH9	myosin heavy chain 9	DFNA17	NMMHCA, NMHC-II-A, MHA, FTNS, EPSTS
MYH9-DT	MYH9 divergent transcript		
MYH10	myosin heavy chain 10		NMMHCB
MYH11	myosin heavy chain 11		SMMHC, SMHC, SMMS-1
MYH13	myosin heavy chain 13		MyHC-eo
MYH14	myosin heavy chain 14	DFNA4	FLJ13881, KIAA2034, MHC16, MYH17
MYH15	myosin heavy chain 15		KIAA1000
MYH16	myosin heavy chain 16	MYH5	MHC20, MYH16P
MYHAS	myosin heavy chain gene cluster antisense RNA		linc-MYH
MYL1	myosin light chain 1		MLC1, MLC1F, MLC3F, MLC-1, MLC1/3
MYL2	myosin light chain 2		CMH10
MYL3	myosin light chain 3		CMH8, VLC1, MLC1V, MLC1SB
MYL4	myosin light chain 4		ALC1, AMLC, GT1, PRO1957
MYL5	myosin light chain 5		
MYL6	myosin light chain 6		ESMLC, MLC3NM, MLC1SM
MYL6B	myosin light chain 6B		MLC1SA
MYL6B-AS1	MYL6B antisense RNA 1		
MYL6BP1	MYL6B pseudogene 1		
MYL6P1	MYL6 pseudogene 1	MYL6P	
MYL6P2	MYL6 pseudogene 2		
MYL6P3	MYL6 pseudogene 3		
MYL6P4	MYL6 pseudogene 4		
MYL6P5	MYL6 pseudogene 5		
MYL7	myosin light chain 7		MYLC2A, MYL2A
MYL9	myosin light chain 9		MYRL2, MLC2, LC20, MRLC1
MYL10	myosin light chain 10		MGC3479, MYLC2PL, PLRLC
MYL11	myosin light chain 11	MYLPF	MRLC2, HUMMLC2B
MYL12-AS1	MYL12A and MYL12B antisense RNA 1		
MYL12A	myosin light chain 12A		MLCB, MYL2B, MRLC3, MRCL3
MYL12AP1	MYL12A pseudogene 1		
MYL12B	myosin light chain 12B		MRLC2
MYL12BP1	MYL12B pseudogene 1		
MYL12BP2	MYL12B pseudogene 2		
MYL12BP3	MYL12B pseudogene 3	MYL8P	BING3
MYLIP	myosin regulatory light chain interacting protein		MIR, IDOL
MYLK	myosin light chain kinase		MLCK, smMLCK, MYLK1, MLCK1, KRP, Telokin, MLCK108, MLCK210, MYLK-L
MYLK-AS1	MYLK antisense RNA 1	MYLK-AS2	
MYLK2	myosin light chain kinase 2		skMLCK, KMLC, MLCK2
MYLK3	myosin light chain kinase 3		caMLCK, MLCK
MYLK4	myosin light chain kinase family member 4		SgK085
MYLKP1	myosin light chain kinase pseudogene 1	MYLKP	
MYLKP2	MYLK pseudogene 2		
MYMK	myomaker, myoblast fusion factor	TMEM8C	TMEM226, MYOMAKER
MYMX	myomixer, myoblast fusion factor		MINION
MYNN	myoneurin		SBBIZ1, ZBTB31, ZNF902
MYO1A	myosin IA	MYHL, DFNA48, BBMI	
MYO1B	myosin IB		myr1
MYO1B-AS1	MYO1B antisense RNA 1		
MYO1C	myosin IC		myr2, NMI, MyoIC
MYO1D	myosin ID		KIAA0727, myr4, PPP1R108
MYO1D-AS1	MYO1D antisense RNA 1		
MYO1D-DT	MYO1D divergent transcript		lncCRLA
MYO1E	myosin IE		MYO1C, HuncM-IC, MGC104638
MYO1F	myosin IF		
MYO1G	myosin IG		HA-2
MYO1H	myosin IH		FLJ37587
MYO3A	myosin IIIA	DFNB30	
MYO3B	myosin IIIB		
MYO3B-AS1	MYO3B antisense RNA 1		
MYO5A	myosin VA	MYH12	MYO5, GS1, MYR12
MYO5B	myosin VB		KIAA1119
MYO5BP1	myosin VB pseudogene 1		
MYO5BP2	myosin VB pseudogene 2		
MYO5BP3	myosin VB pseudogene 3		
MYO5C	myosin VC		MGC74969
MYO6	myosin VI	DFNA22, DFNB37	KIAA0389
MYO7A	myosin VIIA	USH1B, DFNB2, DFNA11	NSRD2
MYO7B	myosin VIIB		
MYO7B-AS1	MYO7B antisense RNA 1		RP11-286H15.1
MYO9A	myosin IXA		FLJ11061, FLJ13244, MGC71859
MYO9A-AS1	MYO9A antisense RNA 1		
MYO9B	myosin IXB	CELIAC4	
MYO10	myosin X		KIAA0799, MyoX
MYO15A	myosin XVA	DFNB3, MYO15	
MYO15B	myosin XVB		MYO15BP
MYO16	myosin XVI		MYR8, KIAA0865, Myo16b, NYAP3, PPP1R107
MYO16-AS1	MYO16 antisense RNA 1		
MYO16-AS2	MYO16 antisense RNA 2		
MYO18A	myosin XVIIIA	TIAF1	KIAA0216, MysPDZ
MYO18B	myosin XVIIIB		BK125H2.1
MYO18B-AS1	MYO18B antisense RNA 1		
MYO19	myosin XIX	MYOHD1	FLJ22865
MYOC	myocilin	GLC1A	TIGR, JOAG1
MYOCD	myocardin		MYCD
MYOCD-AS1	MYOCD antisense RNA 1		
MYOCOS	myocilin opposite strand		
MYOD1	myogenic differentiation 1	MYF3	PUM, MYOD, bHLHc1
MYOF	myoferlin	FER1L3	KIAA1207
MYOG	myogenin	MYF4	bHLHc3
MYOM1	myomesin 1		
MYOM2	myomesin 2		
MYOM3	myomesin 3		FLJ35961
MYOM3-AS1	MYOM3 antisense RNA 1		
MYOPARR	myogenin promoter associated myogenic regulatory antisense long non coding RNA		
MYORG	myogenesis regulating glycosidase	KIAA1161	NET37
MYOSLID	myocardin-induced smooth muscle lncRNA, inducer of differentiation		
MYOSLID-AS1	MYOSLID antisense RNA 1		
MYOT	myotilin	TTID, LGMD1A, LGMD1	
MYOZ1	myozenin 1	MYOZ	FATZ, CS-2
MYOZ2	myozenin 2	C4orf5	CS-1, FATZ-2
MYOZ2-AS1	MYOZ2 antisense RNA 1		
MYOZ3	myozenin 3		CS-3, CS3, FRP3, FATZ-3
MYOZ3-AS1	MYOZ3 antisense RNA 1		
MYPN	myopalladin		MYOP
MYPOP	Myb related transcription factor, partner of profilin		P42pop
MYRACL	myelination regulating oligodendrocyte associated lncRNA	LINC02488	CTD-2316B1
MYREM	MYBPC2 cis regulating lncRNA enhancer of myogenesis		Charme, lncFAM, HSCHARME, lncFAM71E1-2:2
MYRF	myelin regulatory factor	C11orf9	Ndt80, pqn-47, MRF
MYRF-AS1	MYRF antisense RNA 1		DKFZP434K028
MYRFL	myelin regulatory factor like	C12orf15, C12orf28	FLJ25056, bcm1377
MYRIP	myosin VIIA and Rab interacting protein		DKFZp586F1018, exophilin-8, SLAC2-C, SLAC2C
MYSM1	Myb like, SWIRM and MPN domains 1		KIAA1915
MYT1	myelin transcription factor 1	PLPB1	MTF1, MYTI, ZC2HC4A, NZF2, ZC2H2C1
MYT1L	myelin transcription factor 1 like		KIAA1106, NZF1, ZC2HC4B, ZC2H2C2
MYT1L-AS1	MYT1L antisense RNA 1		
MYT1L-AS2	MYT1L antisense RNA 2		
MYZAP	myocardial zonula adherens protein		MYOZAP, Gup, Gup1, GCOM1
